author_id,tweet_id,retweet_count,favourite_count,reply_count,quote_count,followers_count,friends_count,statuses_count,access,screen_name,name,description,profile_image_url,user_lang,location,url
487834443,991617533194227712,530,292,17,14,74629,503,42241,2018-05-02 14:56:03,HasanCucuk,Hasan Cücük,Journalist - Gazeteci yedek hesabım @HasanCucuk1,http://pbs.twimg.com/profile_images/935587884702294018/zOJgvVLf_normal.jpg,tr,Copenhagen ,http://tr724.com
911604369551917061,991692803041316865,0,0,0,0,692,712,14472,2018-05-02 14:56:03,Safi92834616,Safi,yalan bir dünyada oyalan dur zavallı insan....,http://pbs.twimg.com/profile_images/965292811544334336/xDJEZTN2_normal.jpg,tr,"Taufkirchen, Deutschland",
869193235918454786,991314489885839360,2213,3767,7,51,62017,0,494,2018-05-02 14:53:16,offensivemem3s_,Offensive Memes,DM me memes - offensive - i own no content posted - DM for removel,http://pbs.twimg.com/profile_images/875464015337730048/Cta3L18Q_normal.jpg,en,,
825016420803235841,991692102588403713,0,0,0,0,66,31,8861,2018-05-02 14:53:16,tmmsantos,Tiago Santos,18y,http://pbs.twimg.com/profile_images/967514306056159232/oTBTZFe0_normal.jpg,pt,"Coimbra, Portugal",
847735496633536512,991433704575852544,21,17,0,0,4861,530,2435,2018-05-02 14:53:49,KurdsCampaign,Kurdistan Solidarity Campaign,"A labour movement and civil society campaign supporting the rights of the Kurdish people to freedom, justice, equality. info@kurdistansolidaritycampaign.org",http://pbs.twimg.com/profile_images/876031458791628801/kIEEuj06_normal.jpg,en,United Kingdom,http://www.kurdistansolidaritycampaign.org/
634806413,991692241004527618,0,0,0,0,292,275,17890,2018-05-02 14:53:49,donach69,donach,,http://pbs.twimg.com/profile_images/795408229857628160/S77rVIRT_normal.jpg,en,,
975074658331627522,991686033669488640,0,0,0,0,5,46,19,2018-05-02 14:52:15,BayHicDe1,Bay_Hic_De,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,en,,
1016063701,991691846731649025,0,0,0,0,5772,314,7582,2018-05-02 14:52:15,Umit_Burcundan,IŞIK SÜVARİSİ,Bir KÜSUF DAHA SONA ERERKEN...,http://pbs.twimg.com/profile_images/871831270531248128/PnJTKCu1_normal.jpg,tr,,
2323137780,991102360733745157,65,45,5,3,22751,3835,17009,2018-05-02 14:51:25,HaberRisale,Haber Risale,This address announces the voice of the oppressed. It's like Satan who puts babies in jail. Zalimler için yaşasın cehennem !!!  ‏فلتدم الجهنم للظامين,http://pbs.twimg.com/profile_images/833838892696604672/5FNGaJiY_normal.jpg,tr,,
755390902064078848,991691636999708672,0,0,0,0,199,248,12515,2018-05-02 14:51:25,medoviytort,nomorepain,,http://pbs.twimg.com/profile_images/867465381329469440/L4YFr9fd_normal.jpg,tr,,
4341845536,991694254278959104,0,0,0,0,4561,1140,51655,2018-05-02 15:01:49,sosyalmedya661,SOSYAL MEDYA,"Takipçi sayısı derdim yok! Evrensel değerlere inanmayan, adil-bağımsız yargılama olmadan insanlara terörist diyen pislikler takip etmesin!",http://pbs.twimg.com/profile_images/842753848787828737/Azq8uPXv_normal.jpg,da,,
311118058,991664937457070080,81,41,2,0,8099,3563,4703,2018-05-02 15:15:27,Murat_Macit58,Murat Macit,"Seccadesini memleket sayanın gurbet derdi olurmu hiç! Görüşlerimin bağı yoktur, bu nedenle kimseyi bağlamaz",http://pbs.twimg.com/profile_images/977846886106320896/6ysZlRM-_normal.jpg,tr,Köln Almanya,
761666619617714176,991697685215432704,0,0,0,0,48,87,3784,2018-05-02 15:15:27,Kemalnen1,ilhan coskun,İMAN VARSA ÜMİTDE VARDIR. HAYAT UMUTDUR.,http://pbs.twimg.com/profile_images/761668586062614528/4d16vkbY_normal.jpg,en,,
738153522277945344,991476607251460096,204,269,5,3,19706,13217,61935,2018-05-02 15:25:22,dawg_lb,Buddy dawgmadd  Wise,"Constitution/1A/2A, Military/Vets, Economic Growth/Fair Trade, Fiscal Mgt, #MAGA,#SecureBorders,#CCOT, #WETHEPEOPLE LIST=BLOCK RT NOT ENDORSEMENT, #dog_lb",http://pbs.twimg.com/profile_images/834139501819596800/slmjJcW0_normal.jpg,en,WE THE PEOPLE NATION,
562879928,991700180813656065,0,0,0,0,2025,1790,26377,2018-05-02 15:25:22,broll1820,bevo,"God, family, Texas, USN vet, USA MAGA!! put me on a list= blocked",http://pbs.twimg.com/profile_images/991081035172581376/tcVh5bol_normal.jpg,en,"Austin, Texas",
