author_id,tw_num,do_rt_num,get_rt_num
100048048,1,1,0
100215065,1,0,0
100246984,1,1,0
100388079,1,1,0
1004070072,1,1,0
1004127458,1,1,0
1004445859,1,0,1
1005465739,1,1,0
1006772498,1,1,0
100731315,1,0,1
100860790,1,0,0
1008689520,1,1,0
100920780,3,3,0
1009250894,1,1,0
101122971,1,0,1
101148379,1,1,0
1012058653,3,0,2
101221067,1,1,0
10126672,1,0,0
1012874467,1,1,0
1013296250,5,5,0
1013927761,1,1,0
101395252,2,0,1
101510168,3,2,2
1015111746,1,1,0
1016063701,4,0,1
1016189833,1,1,0
1016220361,3,0,3
101651525,1,1,0
101736242,6,6,0
1017662618,1,1,0
101823726,1,1,0
1018339381,3,3,0
101845075,1,1,0
1018786610,8,7,1
101936528,1,1,0
1020365538,3,3,0
102089809,1,1,0
1022637192,2,0,0
10228272,1,0,0
102442110,1,1,0
1024823059,2,0,0
1026821912,1,1,0
1027404487,3,2,1
102855586,1,1,0
102909501,1,1,0
102935595,1,0,1
1029432889,2,2,0
103105127,1,0,1
103162772,1,1,0
10324632,1,1,0
103274547,1,0,0
1033157774,1,1,0
1034277661,3,2,0
1034491885,1,0,1
1034567318,3,1,2
1035098654,1,1,0
1035376896,1,1,0
1036663681,1,1,0
1037597940,2,2,0
1040100182,1,1,0
1040543570,1,1,0
104061714,1,1,0
104170025,1,1,0
104203606,1,0,1
104207796,2,1,0
104240343,1,0,1
104360244,1,0,1
1045520834,1,0,1
10467892,1,1,0
1048300700,1,1,0
104924567,1,0,1
1049546142,8,8,0
1050690259,2,0,1
105081437,1,1,0
1051202035,2,1,0
1051688581,2,2,0
1051791354,2,2,0
105181037,1,0,2
105287629,1,1,0
1053967986,1,1,0
105415519,1,1,0
1056176180,1,1,0
1056808508,1,1,0
1057678213,1,0,1
105801085,1,0,0
1058404628,1,1,0
1058549485,1,1,0
1059040274,1,1,0
105915404,1,0,1
1059236136,4,4,0
1061889990,1,1,0
1062600966,1,1,0
1065001537,1,1,0
106503644,1,1,0
1067528358,1,1,0
106828464,1,0,0
106911238,1,1,0
1071964740,1,0,1
1071986694,1,1,0
107229597,1,1,0
1074614652,1,1,0
1074726764,1,1,0
1075077667,1,1,0
1075169329,1,0,0
107582775,1,1,0
107603126,1,1,0
1077181999,1,0,0
1077541242,1,1,0
1077593562,1,1,0
1077950875,1,1,0
107870951,1,0,0
1079343476,2,2,0
107951123,1,1,0
107984182,6,0,8
107988623,1,1,0
1080494443,1,1,0
108072801,1,1,0
1081560516,1,1,0
1081917192,1,1,0
108199025,1,1,0
108354916,1,1,0
108450607,2,0,5
108465379,1,0,1
108524355,4,0,3
1085411936,1,1,0
1085757072,1,0,1
108751302,3,1,0
1087724815,2,2,0
1087833151,1,1,0
108874241,1,1,0
108889445,1,0,0
1090026433,1,0,0
1090352485,1,1,0
109045257,1,1,0
1091977398,2,0,1
109233292,1,1,0
109262531,1,1,0
1092957523,1,1,0
109351574,2,2,0
1094923028,1,0,1
1095464694,2,2,0
1095919548,2,2,0
109623426,1,1,0
1097218164,1,0,1
10979872,1,1,0
1098918846,1,1,0
109969523,1,0,0
109983609,2,0,2
109989715,1,0,0
1100079385,1,1,0
110035909,1,1,0
1102507878,1,1,0
1103715715,6,0,6
110445334,1,0,1
1105184047,1,1,0
1105228530,4,4,0
1105249272,1,1,0
110567206,1,1,0
1106307541,1,1,0
1106507400,1,1,0
1106613330,5,5,0
1107406302,1,1,0
1108592268,1,1,0
111054675,1,1,0
1110571916,1,1,0
111119744,1,1,0
111133610,1,1,0
1111506432,1,1,0
111247911,1,1,0
1113147242,1,1,0
111495996,1,1,0
111556423,2,0,0
111680876,1,1,0
1117655677,1,0,0
111767172,1,0,0
1119342433,1,1,0
111955898,1,1,0
1119922741,1,1,0
112147757,1,1,0
1123938558,1,1,0
1125097482,1,0,0
112582208,1,1,0
1125937411,1,0,1
1129069351,1,1,0
1129187396,1,1,0
112921460,2,2,0
1129661486,1,1,0
1129886599,1,1,0
112996271,1,0,0
113004019,1,1,0
113081744,1,1,0
1132037558,1,1,0
1132100246,1,1,0
113238199,1,1,0
11325152,1,0,0
1133349769,1,1,0
1133701598,1,0,1
1133746248,2,2,0
11339402,1,1,0
1134302798,1,1,0
1135175040,1,1,0
1135496646,7,0,5
1135718227,1,1,0
113587188,2,0,1
113671793,1,1,0
113742340,2,0,1
1137779952,35,19,18
1138066470,1,1,0
1138721281,1,1,0
113987669,5,0,3
1140120678,1,1,0
1140541602,1,1,0
1141097725,1,1,0
114111229,1,1,0
1141341337,1,0,0
114188352,1,1,0
1142312972,5,1,9
114374226,4,0,4
114424313,1,0,0
114452171,7,0,7
1146809210,1,1,0
1147991791,1,1,0
114823076,1,1,0
114823560,1,1,0
114872258,1,1,0
114887763,2,2,0
114888335,1,1,0
1149378091,1,1,0
114955534,1,1,0
1149692724,1,1,0
114978436,1,0,1
115050267,1,0,1
1150585999,2,2,0
115073436,1,1,0
1150888405,3,3,0
115105548,1,1,0
1151507820,1,1,0
1151887297,1,0,1
1152010034,1,1,0
1152523110,1,0,0
115400791,1,1,0
115473990,1,1,0
115543224,1,1,0
1155501080,1,1,0
1155534600,1,1,0
1155731180,1,1,0
1156371384,1,1,0
115681686,2,0,2
115754870,1,0,1
115782657,1,1,0
1158060332,1,0,1
1158183745,1,1,0
115821984,1,1,0
1158399552,1,1,0
116064137,1,1,0
1160775618,1,1,0
1161161875,1,1,0
1163486364,6,6,0
116363549,1,0,0
1165708826,1,1,0
1165957686,1,1,0
1166754726,1,1,0
1167448458,1,1,0
116774813,3,3,0
1169233927,1,0,0
1169286608,2,2,0
1169506842,1,0,0
117035429,1,1,0
1170389426,1,1,0
1171487460,1,1,0
117274787,1,0,0
1173151501,1,1,0
117368827,1,0,1
1173812072,2,2,0
1174331076,1,1,0
1174762118,1,1,0
117493008,1,1,0
1175290364,1,1,0
117630387,1,1,0
1177632823,1,1,0
1178028691,2,2,0
117948113,1,1,0
1180655028,1,1,0
118070021,2,2,0
1183101655,1,1,0
1183512104,1,0,0
118443913,1,1,0
118518154,1,1,0
118687158,1,1,0
118751135,11,11,0
118798545,2,0,0
119044968,1,1,0
119055347,1,1,0
1191313830,1,0,3
119183782,32,2,39
1192696428,1,0,1
119445613,1,0,0
1194589808,1,1,0
1194874640,1,1,0
1195029284,1,1,0
1195088827,1,1,0
119602583,1,0,1
119771879,1,1,0
119837703,1,0,0
11985982,1,0,0
119879630,1,0,1
1199372545,1,1,0
120039960,1,1,0
1201256322,1,1,0
120393995,1,0,0
1205870964,1,1,0
1205999136,1,1,0
120619291,1,1,0
1206962444,2,2,0
1208695074,1,0,1
1208802133,1,1,0
1208867773,1,0,0
1209148250,1,0,1
120995738,1,0,1
121171999,1,1,0
121320968,1,1,0
1213529005,1,1,0
1213806504,1,0,0
1214235727,1,1,0
1214487787,1,1,0
121511495,1,1,0
1216645705,1,0,0
1216957579,3,3,0
1218871032,1,0,0
1219326096,1,1,0
121947825,1,1,0
1219828123,1,1,0
1219921500,1,1,0
122111073,1,1,0
1221403940,1,1,0
1222028304,2,2,0
1222532268,1,0,0
1223315011,1,1,0
1223325661,1,0,0
1226167963,1,0,0
122628049,1,0,0
1226297179,1,1,0
1226673523,1,1,0
1227692353,2,0,0
1228124479,1,0,1
1228655814,1,1,0
122975364,1,1,0
1229818309,16,16,0
1230214950,1,1,0
1231055906,1,1,0
123125338,1,0,1
1232757781,1,1,0
1234920200,1,1,0
1234987687,1,1,0
1236713340,1,0,0
123727717,1,1,0
1238981322,1,0,0
1239072139,1,0,0
1239132415,1,1,0
1239831878,1,1,0
124169534,1,0,1
124176500,1,0,0
124224983,1,1,0
1243316630,1,1,0
124410425,1,1,0
1244786641,1,1,0
1246178089,1,1,0
124621924,1,0,0
1246544485,1,0,1
124842784,1,1,0
1249410956,1,1,0
1250027652,1,0,1
125023898,33,0,42
125128723,1,0,1
1252655358,1,1,0
1253030474,1,1,0
125319005,1,0,0
1253284927,1,0,0
1253625300,1,1,0
1254145386,1,1,0
1254873175,1,1,0
125565652,1,1,0
1255748754,1,1,0
1256590034,1,1,0
1256753802,1,1,0
1257058543,1,1,0
1257871477,1,1,0
1257911346,3,3,0
125857445,2,2,0
1258767608,1,1,0
1260552937,2,0,1
1260592627,1,1,0
126103416,2,2,0
1261405470,1,1,0
126273916,1,0,0
1262946222,1,1,0
